anio,mes,recaudacion,emae,ipc_argentina,ipc_cordoba,ipc_tucuman,ipc_santafe,ipc_gba,ipc_mendoza,exportaciones,importaciones,dolar_blue,dolar_oficial,monedas_publico,ingresos_familiares
1974,3,,,,,0.007127008673435,,,8.472336714789102e-10,,,,,,
1974,4,,,,,0.0391214366780158,,,9.081437458226587e-10,,,,,,
1974,5,,,,,0.0282043045293928,,,9.378120159468803e-10,,,,,,
1974,6,,,,,0.0368032991752062,,,9.690252104555839e-10,,,,,,
1974,7,,,,,0.0461640450792502,,,9.94344804534596e-10,,,,,,
1974,8,,,,,0.0293795725560227,,,1.020422555950438e-09,,,,,,
1974,9,,,,,0.0306676366892383,,,1.0556411099744652e-09,,,,,,
1974,10,,,,,0.0496823586903404,,,1.082033568209368e-09,,,,,,
1974,11,,,,,0.0157769501344921,,,1.1336884011016362e-09,,,,,,
1974,12,,,,,0.0373274940163974,,,1.2095613542062024e-09,,,,,,
1975,1,,,,,0.0848306332842415,,,1.2535630894531187e-09,,,,,,
1975,2,,,,,0.095755271970314,,,1.4382959922420267e-09,,,,,,
1975,3,,,,,0.0683901874948376,,,1.5501313518520375e-09,,,,,,
1975,4,,,,,0.0869733281793583,,,1.6160767353007646e-09,,,,,,
1975,5,,,,,0.0730796586059744,,,1.6819505944724331e-09,,,,,,
1975,6,,,,,0.3207290803645403,,,2.542816793158857e-09,,,,,,
1975,7,,,,,0.3779891099791733,,,3.136039147089166e-09,,,,,,
1975,8,,,,,0.2465903090117814,,,3.749717444258451e-09,,,,,,
1975,9,,,,,0.124950700419229,,,4.142056713639849e-09,,,,,,
1975,10,,,,,0.0857517561970055,,,4.5125095542410845e-09,,,,,,
1975,11,,,,,0.1138404869823122,,,4.903947617731535e-09,,,,,,
1975,12,,,,,0.0886552997766707,,,5.569681283744619e-09,,,,,,
1976,1,,,,,0.1465683035318019,,,6.510554538749641e-09,,,,,,
1976,2,,,,,0.1821356684501178,,,7.791153804931197e-09,,,,,,
1976,3,,,,,0.3695389585819483,,,1.0980206746176758e-08,,,,,,
1976,4,,,,,0.2755920154293273,,,1.3342381825194504e-08,,,,,,
1976,5,,,,,0.0874822457233541,,,1.5143606304091118e-08,,,,,,
1976,6,,,,,0.061765088897911,,,1.6106323073310065e-08,,,,,,
1976,7,,,,,0.0351608155491103,,,1.6984812853863923e-08,,,,,,
1976,8,,,,,0.1283911638944937,,,1.821877829140277e-08,,,,,,
1976,9,,,,,0.0577884015540361,,,1.9800594897992103e-08,,,,,,
1976,10,,,,,0.0517964229199389,,,2.092115144182564e-08,,,,,,
1976,11,,,,,0.0967703432291016,,,2.3196167036818853e-08,,,,,,
1976,12,,,,,0.0528425757433873,,,2.44078312047706e-08,,,,,,
1977,1,,,,,0.1152655313993403,,,2.7472002758270525e-08,,,,,,
1977,2,,,,,0.1136877998732612,,,2.9115716474227026e-08,,,,,,
1977,3,,,,,0.0403277781110953,,,3.125688153713135e-08,,,,,,
1977,4,,,,,0.0749840008334448,,,3.347407690654978e-08,,,,,,
1977,5,,,,,0.0677997487167594,,,3.565880025418326e-08,,,,,,
1977,6,,,,,0.0754994643531478,,,3.956338206313064e-08,,,,,,
1977,7,,,,,0.0786775066117133,,,4.234563352617339e-08,,,,,,
1977,8,,,,,0.0961910017393006,,,4.5569676143756393e-08,,,,,,
1977,9,,,,,0.0915633415279758,,,4.814543701892879e-08,,,,,,
1977,10,,,,,0.1258381445525711,,,5.4822428550395554e-08,,,,,,
1977,11,,,,,0.0891384921071133,,,5.931519740416827e-08,,,,,,
1977,12,,,,,0.0733336443730534,,,6.302217194045604e-08,,,,,,
1978,1,,,,,0.1135329147959786,,,7.00918603626895e-08,,,,,,
1978,2,,,,,0.0500701061151652,,,7.329055477648267e-08,,,,,,
1978,3,,,,,0.1012677434773042,,,7.681037888941693e-08,,,,,,
